8/1/2000," Erie, Pennsylvania",,,,,,,,,,,38
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard,,Brass,Music Analysis,Percussion,,Total
TheCavaliers,18.60,18.70,37.30,18.30,19.10,18.80,28.10,18.30,18.70,18.50,27.75,93.15
BlueKnights,17.70,17.50,35.20,17.60,18.00,17.30,26.45,17.50,17.60,17.90,26.50,88.15
Glassmen,17.40,17.40,34.80,17.30,17.70,17.60,26.30,17.30,17.30,18.20,26.40,87.50
Southwind,15.60,16.50,32.10,16.40,16.50,17.00,24.95,16.50,16.70,16.90,25.05,82.10
SpiritofAtlanta,15.00,15.30,30.30,15.40,15.10,16.30,23.40,15.70,16.40,16.70,24.40,78.10
KiwanisKavaliers,12.80,14.20,27.00,14.00,13.50,13.40,20.45,13.40,12.80,14.10,20.15,67.60
Spartans,13.00,12.50,25.50,12.30,12.50,13.70,19.25,13.10,13.50,14.50,20.55,65.30
LakeErieRegiment,9.70,12.30,22.00,10.50,11.60,12.60,17.35,12.60,11.30,11.20,17.55,56.90
,,,,,,,,,,,,
8/2/2000,"Kitchner, Ontario",,,Canadian Open Championship Division II Prelims,,,,,,,,39
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard,,Brass,Music Analysis,Percussion,,Total
Patriots,17.60,18.60,36.20,16.00,18.10,16.60,25.35,17.30,17.50,17.60,26.20,87.75
TaipeiYuehfu,17.10,16.70,33.80,17.20,17.40,16.90,25.75,17.50,16.60,13.90,24.00,83.55
EastCoastJazz,16.00,17.40,33.40,15.90,17.80,16.20,24.95,17.00,17.80,14.60,24.70,83.05
CapitalSound,15.90,17.60,33.50,16.40,17.50,16.40,25.15,18.00,16.40,15.10,24.75,83.40
AllegianceElite,15.40,16.00,31.40,15.10,15.00,15.00,22.55,15.80,15.10,13.60,22.25,76.20
DutchBoy,15.10,16.20,31.30,12.40,14.50,14.60,20.75,14.00,14.20,11.70,19.95,72.00
LesStentors,14.20,14.70,28.90,14.60,14.70,15.10,22.20,15.00,13.20,10.50,19.35,70.45
,,,,,,,,,,,,
8/2/2000,"Kitchner, Ontario",,,Canadian Open Championship Division III Prelims,,,,,,,,39
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard,,Brass,Music Analysis,Percussion,,Total
SeattleCascades,17.10,18.20,35.30,17.40,17.50,17.00,25.95,18.30,17.40,18.00,26.85,88.10
GeneralButlerVagabonds,16.00,17.90,33.90,17.30,15.30,17.70,25.10,17.60,16.80,17.10,26.25,85.25
Americanos,16.70,17.00,33.70,16.90,15.50,16.60,24.50,18.00,16.60,17.50,26.05,84.25
CincinnatiGlory,14.80,16.40,31.20,16.10,15.80,18.00,24.95,17.80,17.00,15.50,25.15,81.30
CapitalRegiment,15.60,14.90,30.50,16.70,15.20,16.00,23.95,16.00,15.50,18.40,24.95,79.40
Raiders,16.40,14.50,30.90,15.90,14.90,16.30,23.55,14.80,15.30,16.00,23.05,77.50
Phoenix,14.00,15.40,29.40,15.30,13.50,13.50,21.15,16.30,14.30,15.00,22.80,73.35
LakeErieRegiment,14.00,14.30,28.70,14.80,13.70,14.80,21.65,15.20,13.60,16.90,22.85,73.20
TealSound,13.30,15.70,29.00,13.90,13.80,13.30,20.50,14.10,14.00,14.30,21.20,70.70
LesSenateurs,15.40,12.90,28.30,13.40,13.00,10.20,18.30,15.00,13.70,14.50,21.60,68.20
HYPE,13.70,13.30,27.00,14.60,12.00,13.80,20.20,13.00,11.90,12.70,18.80,66.00
KnightStorm,14.20,10.50,24.70,14.20,10.50,12.10,18.40,12.00,13.40,16.80,21.10,64.20
LegendofTexas,13.50,9.60,23.10,13.90,12.30,11.80,19.00,12.40,12.80,13.90,19.55,61.65
EdmontonStrutters,13.90,13.60,27.50,13.60,11.30,11.00,17.95,9.30,10.60,12.00,15.95,61.40
Bandettes,13.20,10.30,23.50,14.50,11.70,14.50,20.35,9.50,12.00,12.40,16.95,60.80
DeltaBrigade,13.00,11.80,24.80,13.00,12.10,9.60,17.35,9.60,10.90,13.00,16.75,58.90
EmeraldKnights,12.80,10.00,22.80,12.30,10.90,12.40,17.80,10.00,11.80,14.40,18.10,58.70
Spectrum,12.00,12.40,24.40,10.50,10.30,8.30,14.60,12.80,10.30,13.80,18.45,57.45
KipsBayCrusaders,12.40,11.00,23.40,10.70,9.20,11.40,15.65,10.40,9.40,11.00,15.40,54.45
DecorahKilties,9.70,7.00,16.70,8.40,9.00,7.60,12.50,8.80,8.20,10.90,13.95,43.15
ScenicCity,9.80,4.90,14.70,6.90,9.80,8.00,12.35,8.00,8.80,11.40,14.10,41.15
,,,,,,,,,,,,
8/2/2000,"Kitchner, Ontario",,,Canadian Open Championship Finals,,,,,,,,39
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard,,Brass,Music Analysis,Percussion,,Total
KiwanisKavaliers,12.40,13.50,25.90,13.00,12.70,12.30,19.00,13.70,14.30,14.70,21.35,66.25
Patriots,18.10,18.20,36.30,16.50,18.10,17.40,26.00,18.50,18.90,17.70,27.55,89.85
EastCoastJazz,16.60,17.90,34.50,16.10,17.70,16.70,25.25,17.50,18.70,14.90,25.55,85.30
CapitalSound,16.80,17.40,34.20,16.60,17.30,15.90,24.90,18.20,16.50,17.50,26.10,85.20
TaipeiYuehfu,16.30,17.50,33.80,17.20,17.10,16.40,25.35,16.50,16.70,15.50,24.35,83.50
AllegianceElite,15.00,16.90,31.90,15.50,16.00,14.40,22.95,15.80,15.20,14.40,22.70,77.55
DutchBoy,14.00,13.30,27.30,13.40,14.40,13.60,20.70,14.50,14.10,12.40,20.50,68.50
SeattleCascades,17.90,17.70,35.60,17.50,17.50,16.60,25.80,18.00,18.50,18.00,27.40,88.80
Americanos,16.00,17.10,33.10,16.70,16.10,17.00,24.90,18.40,17.60,17.80,26.90,84.90
GeneralButlerVagabonds,16.90,15.90,32.80,16.80,16.20,17.90,25.45,18.70,17.90,16.30,26.45,84.70
CincinnatiGlory,16.70,16.40,33.10,16.90,15.90,18.70,25.75,18.10,17.10,15.40,25.30,84.15
CapitalRegiment,15.10,14.90,30.00,16.50,15.60,17.50,24.80,15.10,15.50,18.50,24.55,79.35
