6/28/2025,"Shelton, Connecticut",,,Barnum Festival Champions On Parade,,,,,,,,7
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard,,Brass,Music Analysis,Percussion,,Total
7thRegiment,10.30,10.80,21.10,11.20,9.50,10.00,15.35,10.40,9.50,10.60,15.25,51.70
ReadingBuccaneers,16.80,16.40,33.20,16.20,17.10,15.10,24.20,16.40,15.80,16.20,24.20,81.60
HawthorneCaballeros,16.10,15.80,31.90,15.30,15.90,14.90,23.05,15.90,15.00,15.00,22.95,77.90
Bushwackers,15.60,15.40,31.00,15.60,15.40,15.00,23.00,15.70,14.60,15.47,22.85,76.85
ConnecticutHurricanes,14.00,14.20,28.20,14.60,14.70,14.40,21.85,14.30,14.50,14.30,21.55,71.60
Sunrisers,13.10,13.30,26.40,13.50,12.40,14.00,19.95,13.90,13.60,13.20,20.35,66.70
,,,,,,,,,,,,
6/28/2025,"FortCollins, Colorado",,,Drums Along The Rockies,,,,,,,,7
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard,,Brass,Music Analysis,Percussion,,Total
BostonCrusaders,15.30,15.00,30.30,15.41,15.30,15.20,22.95,15.60,15.30,15.00,22.95,76.20
BlueDevils,15.20,14.90,30.10,15.30,15.00,15.10,22.70,15.40,15.50,14.30,22.60,75.40
Colts,13.60,13.80,27.40,13.60,13.90,13.70,20.60,14.10,13.50,12.90,20.25,68.25
Troopers,13.10,13.40,26.50,14.30,13.40,13.20,20.45,13.70,14.10,13.80,20.80,67.75
BlueKnights,12.80,13.10,25.90,13.36,13.30,13.00,19.80,13.30,13.90,13.30,20.25,65.95
,,,,,,,,,,,,
6/30/2025,"Ogdem, Utah",,,Corps Encore,,,,,,,,9
,General Effect 1,General Effect 2,,Visual Proficiency,Visual Analysis,Color Guard,,Brass,Music Analysis,Percussion,,Total
BostonCrusaders,15.50,15.80,31.30,15.40,15.50,15.40,23.15,15.90,15.60,15.30,23.40,77.85
BlueKnights,13.50,13.80,27.30,13.40,13.40,13.10,19.95,13.90,13.50,13.80,20.60,67.85
SeattleCascades,12.70,12.90,25.60,12.50,13.00,11.90,18.70,12.40,12.50,11.80,18.35,62.65
Battalion,12.30,12.30,24.60,11.50,11.90,12.40,17.90,11.80,11.90,11.30,17.50,60.00
Impulse,10.80,11.10,21.90,10.40,11.20,11.30,16.45,10.90,11.30,10.60,16.40,54.75
